source_sectors,n
"Government,Executive,Executive Office,Finance / Economy / Commerce / Trade Ministry,Elite",1
"Government,Executive,Executive Office,Hutu,International Ethnic,Elite",1
"Government,Executive,Executive Office,Information / Communication / Transparency Ministry",1
"Government,Executive,Executive Office,International Ethnic,Pashtun",1
"Government,Executive,Executive Office,International Ethnic,Uzbek",1
"Government,Executive,Executive Office,International Religious,Catholic",1
"Government,Executive,Executive Office,International Religious,Elite,Ideological,Sunni,Fundamentalist",1
"Government,Executive,Executive Office,International Religious,Elite,Shinto",1
"Government,Executive,Executive Office,International Religious,Sunni,Muslim,Elite",1
"Government,Executive,Executive Office,Local,Elite,Provincial",1
"Government,Executive,Executive Office,National Ethnic,Christian,International Religious,International Ethnic,Elite,Kru,Social",1
"Government,Executive,Executive Office,Orthodox,Defense / Security Ministry,International Religious,Interior / Home Ministry,Elite",1
"Government,Executive,Executive Office,Shia,International Religious",1
"Government,Executive,Executive Office,Social,International Ethnic,Elite,Mande,National Ethnic",1
"Government,Executive,Executive Office,Social,National Ethnic,Religious Minority,International Religious,Elite,Shia,National Ethnic Minority,National Religious",1
"Government,Executive,Executive Office,State Media,Information / Communication / Transparency Ministry",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Agriculture / Fishing / Forestry Ministry",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Army,Military",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Industrial / Textiles / Mining Ministry,Cabinet",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Lower House,Legislative / Parliamentary",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,State-Owned Transportation,Elite,State Owned Enterprises",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Tourism Ministry",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Tourism Ministry,Cabinet",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Women / Children / Social / Welfare / Development / Religion Ministry",1
"Government,Executive,Finance / Economy / Commerce / Trade Ministry,Women / Children / Social / Welfare / Development / Religion Ministry,Cabinet",1
"Government,Executive,Food Ministry,Drugs Ministry",1
"Government,Executive,Foreign Ministry,Business NGOs,Nongovernmental Organizations / Activists",1
"Government,Executive,Foreign Ministry,Communist,Ideological",1
"Government,Executive,Foreign Ministry,Defense / Security Ministry",1
"Government,Executive,Foreign Ministry,Elite,Finance / Economy / Commerce / Trade Ministry",1
"Government,Executive,Foreign Ministry,Justice / Law Ministry",1
"Government,Executive,Foreign Ministry,Nongovernmental Organizations / Activists",1
"Government,Executive,Fundamentalist,Sunni,International Religious,Foreign Ministry,Ideological",1
"Government,Executive,Global Economic/Financial/Trade IGOs,Global,International Government Organization,Foreign Ministry",1
"Government,Executive,Government Religious,Justice / Law Ministry",1
"Government,Executive,Housing / Construction Ministry,Center Left,Elite,Ideological,Nationalist",1
"Government,Executive,Housing / Construction Ministry,Legislative / Parliamentary,Unicameral",1
"Government,Executive,Human Rights Ministry,Cabinet",1
"Government,Executive,Ideological,Centrist,Interior / Home Ministry",1
"Government,Executive,Ideological,Elections Ministry,Centrist",1
"Government,Executive,Industrial / Textiles / Mining Ministry,Cabinet,Energy Ministry",1
"Government,Executive,Industrial / Textiles / Mining Ministry,Cabinet,Finance / Economy / Commerce / Trade Ministry",1
"Government,Executive,Information / Communication / Transparency Ministry,Executive Office",1
"Government,Executive,Information / Communication / Transparency Ministry,Transportation Ministry",1
"Government,Executive,Intelligence Ministry,Defense / Security Ministry,Legislative / Parliamentary",1
"Government,Executive,Intelligence Ministry,Elite",1
"Government,Executive,Intelligence Ministry,Interior / Home Ministry,Defense / Security Ministry",1
"Government,Executive,Intelligence Ministry,Military",1
"Government,Executive,Intelligence Ministry,National / Border Divisions,Police",1
"Government,Executive,Intelligence Ministry,Police,National / Border Divisions",1
"Government,Executive,Intelligence Ministry,Sunni,International Religious",1
"Government,Executive,Interior / Home Ministry,Centrist,Ideological",1
"Government,Executive,Interior / Home Ministry,Disaster Ministry",1
"Government,Executive,Interior / Home Ministry,Elite,Defense / Security Ministry",1
"Government,Executive,Interior / Home Ministry,Housing / Construction Ministry",1
"Government,Executive,Interior / Home Ministry,Legislative / Parliamentary,Unicameral",1
"Government,Executive,International Ethnic,Jews,Foreign Ministry",1
"Government,Executive,International Government Organization,Executive Office,Regional Diplomatic IGOs,Regional,Elite",1
"Government,Executive,International Government Organization,Finance / Economy / Commerce / Trade Ministry,Regional Diplomatic IGOs,Regional",1
"Government,Executive,International Government Organization,Global,Foreign Ministry,Global Diplomatic IGOs",1
"Government,Executive,International Government Organization,Global,Global Economic/Financial/Trade IGOs,Foreign Ministry",1
"Government,Executive,International Government Organization,Information / Communication / Transparency Ministry,Regional Diplomatic IGOs,Regional",1
"Government,Executive,International Government Organization,Regional Diplomatic IGOs,Interior / Home Ministry,Regional",1
"Government,Executive,International Religious,Finance / Economy / Commerce / Trade Ministry,Shia",1
"Government,Executive,International Religious,Maronite,Finance / Economy / Commerce / Trade Ministry",1
"Government,Executive,International Religious,Muslim,Management / Budget / Planning / Organization Ministry",1
"Government,Executive,Justice / Law Ministry,Elite,Legislative / Parliamentary,Foreign Ministry",1
"Government,Executive,Justice / Law Ministry,Foreign Ministry",1
"Government,Executive,Justice / Law Ministry,Information / Communication / Transparency Ministry",1
"Government,Executive,Justice / Law Ministry,Police",1
"Government,Executive,Labor Ministry,Cabinet,International Religious,Protestant",1
"Government,Executive,Legal,Justice / Law Ministry,Social",1
"Government,Executive,Legislative / Parliamentary,Agriculture / Fishing / Forestry Ministry,Upper House",1
"Government,Executive,Legislative / Parliamentary,Cabinet,Environment Ministry,Elite,Energy Ministry",1
"Government,Executive,Legislative / Parliamentary,Cabinet,Lower House,Women / Children / Social / Welfare / Development / Religion Ministry,Elite",1
"Government,Executive,Legislative / Parliamentary,Cabinet,Unicameral,Tourism Ministry",1
"Government,Executive,Legislative / Parliamentary,Cabinet,Unicameral,Transportation Ministry,Housing / Construction Ministry",1
"Government,Executive,Legislative / Parliamentary,Elite,Executive Office",1
"Government,Executive,Legislative / Parliamentary,Elite,Unicameral,Justice / Law Ministry",1
"Government,Executive,Legislative / Parliamentary,Executive Office,Elite",1
"Government,Executive,Legislative / Parliamentary,Finance / Economy / Commerce / Trade Ministry,Elite",1
"Government,Executive,Legislative / Parliamentary,Foreign Ministry,Elite",1
"Government,Executive,Legislative / Parliamentary,Foreign Ministry,Lower House",1
"Government,Executive,Legislative / Parliamentary,Unicameral,Cabinet",1
"Government,Executive,Legislative / Parliamentary,Unicameral,Foreign Ministry",1
"Government,Executive,Legislative / Parliamentary,Upper House,Justice / Law Ministry,Elite",1
"Government,Executive,Local,Cabinet,Provincial,Finance / Economy / Commerce / Trade Ministry",1
"Government,Executive,Local,Municipal,Justice / Law Ministry",1
"Government,Executive,Lower House,Executive Office,Legislative / Parliamentary",1
"Government,Executive,Lower House,Legislative / Parliamentary,Elite,Executive Office",1
"Government,Executive,Lower House,Legislative / Parliamentary,Finance / Economy / Commerce / Trade Ministry,Elite",1
"Government,Executive,Management / Budget / Planning / Organization Ministry,International Religious,Muslim",1
"Government,Executive,Management / Budget / Planning / Organization Ministry,Legislative / Parliamentary",1
"Government,Executive,Media,State Media,Information / Communication / Transparency Ministry,Social",1
"Government,Executive,Military,Army,Information / Communication / Transparency Ministry",1
"Government,Executive,Military,Defense / Security Ministry,Elite",1
"Government,Executive,Military,Defense / Security Ministry,Military Intelligence",1
"Government,Executive,Military,Finance / Economy / Commerce / Trade Ministry,Army",1
"Government,Executive,Military,Interior / Home Ministry,Coast Guard",1
"Government,Executive,Military,Military Intelligence,Defense / Security Ministry",1
"Government,Executive,Municipal,Local",1
"Government,Executive,Muslim,International Religious,Executive Office,Cabinet",1
"Government,Executive,Muslim,International Religious,Foreign Ministry,Elite",1
"Government,Executive,Muslim,International Religious,Management / Budget / Planning / Organization Ministry",1
"Government,Executive,Muslim,Justice / Law Ministry,International Religious",1
"Government,Executive,National / Border Divisions,Interior / Home Ministry,Police",1
"Government,Executive,National / Border Divisions,Police,Interior / Home Ministry",1
"Government,Executive,National Ethnic,Cabinet,Disaster Ministry,Social,National Ethnic Minority",1
"Government,Executive,National Ethnic,Defense / Security Ministry,National Ethnic Minority,Social",1
"Government,Executive,National Ethnic,National Ethnic Minority,Defense / Security Ministry,Social",1
"Government,Executive,National Ethnic,Social,National Ethnic Minority,Defense / Security Ministry",1
"Government,Executive,Nongovernmental Organizations / Activists,Government Religious,Charity NGOs",1
"Government,Executive,Orthodox,Elite,International Religious,Interior / Home Ministry",1
"Government,Executive,Orthodox,Lower House,Legislative / Parliamentary,Foreign Ministry,International Religious",1
"Government,Executive,Police,Drugs Ministry,National / Border Divisions",1
"Government,Executive,Police,National / Border Divisions,Defense / Security Ministry",1
"Government,Executive,Police,National / Border Divisions,Interior / Home Ministry",1
"Government,Executive,Provincial,Elections Ministry,Local",1
"Government,Executive,Provincial,Local,Executive Office",1
"Government,Executive,Regional Diplomatic IGOs,International Government Organization,Regional,Agriculture / Fishing / Forestry Ministry",1
"Government,Executive,Regional,Finance / Economy / Commerce / Trade Ministry,International Government Organization,Regional Diplomatic IGOs",1
"Government,Executive,Social,Health Ministry,Media",1
"Government,Executive,Social,Information / Communication / Transparency Ministry,Media,State Media,News,Print News",1
"Government,Executive,Social,Information / Communication / Transparency Ministry,State Media,News,Media,Television News",1
"Government,Executive,Social,Mande,Executive Office,International Ethnic,National Ethnic,Elite",1
"Government,Executive,Social,Multinational Corporation,Finance / Economy / Commerce / Trade Ministry,Business",1
"Government,Executive,Social,Nongovernmental Organizations / Activists,Human Rights NGOs,Elections Ministry,Legal",1
"Government,Executive,Social,State Media,Information / Communication / Transparency Ministry,Media",1
"Government,Executive,State Media,Information / Communication / Transparency Ministry,Social,News,Print News,Media",1
"Government,Executive,State Media,International Religious,Muslim,Information / Communication / Transparency Ministry",1
"Government,Executive,State-Owned Defense / Security,Defense / Security Ministry,State Owned Enterprises,Elite",1
"Government,Executive,State-Owned Heavy Industrial / Chemical,State Owned Enterprises,Industrial / Textiles / Mining Ministry,Energy Ministry",1
"Government,Executive,State-Owned Science / Tech / Knowledge / Innovation,State Owned Enterprises",1
"Government,Executive,Television News,Social,Information / Communication / Transparency Ministry,State Media,Media,News",1
"Government,Executive,Tourism Ministry,Cabinet",1
"Government,Executive,Transportation Ministry,Housing / Construction Ministry",1
"Government,Executive,Transportation Ministry,Military",1
"Government,Executive,Unicameral,Foreign Ministry,Legislative / Parliamentary",1
"Government,Executive,Unicameral,Legislative / Parliamentary,Cabinet",1
"Government,Executive,Unicameral,Legislative / Parliamentary,Cabinet,Health Ministry",1
"Government,Executive,Unicameral,Legislative / Parliamentary,Foreign Ministry",1
"Government,Executive,Unicameral,Legislative / Parliamentary,Foreign Ministry,Elite",1
"Government,Executive,Water Ministry,Energy Ministry",1
"Government,Executive,Water Ministry,Environment Ministry",1
"Government,Executive,Women / Children / Social / Welfare / Development / Religion Ministry,Cabinet,Pashtun,International Ethnic",1
"Government,Executive,Women / Children / Social / Welfare / Development / Religion Ministry,Health Ministry",1
"Government,Executive,Women / Children / Social / Welfare / Development / Religion Ministry,Labor Ministry,Elite",1
"Government,Executive,Women / Children / Social / Welfare / Development / Religion Ministry,Water Ministry",1
"Government,Far Left,Executive Office,Executive,Elite,Ideological",1
"Government,Far Right,Ideological,Government Religious",1
"Government,Finance / Economy / Commerce / Trade Ministry,Agriculture / Fishing / Forestry Ministry,Executive,Cabinet,Environment NGOs,Nongovernmental Organizations / Activists",1
"Government,Finance / Economy / Commerce / Trade Ministry,Cabinet,Executive,Foreign Ministry",1
"Government,Finance / Economy / Commerce / Trade Ministry,Elite,Defense / Security Ministry,Muslim,Military,International Religious,Executive Office,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Elite,Executive Office,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Elite,Executive,Cabinet",1
"Government,Finance / Economy / Commerce / Trade Ministry,Elite,Military,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Foreign Ministry,Elite,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Industrial / Textiles / Mining Ministry,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Industrial / Textiles / Mining Ministry,Executive,Cabinet",1
"Government,Finance / Economy / Commerce / Trade Ministry,International Religious,Executive,Maronite",1
"Government,Finance / Economy / Commerce / Trade Ministry,Legislative / Parliamentary,Executive,Cabinet,Unicameral",1
"Government,Finance / Economy / Commerce / Trade Ministry,Lower House,Legislative / Parliamentary,Elite,Cabinet,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Lower House,Legislative / Parliamentary,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Lower House,Legislative / Parliamentary,Tourism Ministry,Cabinet,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Military,Executive Office,Executive,Elite,International Religious,Defense / Security Ministry,Muslim",1
"Government,Finance / Economy / Commerce / Trade Ministry,Military,Executive,Elite",1
"Government,Finance / Economy / Commerce / Trade Ministry,Police,National / Border Divisions,Executive",1
"Government,Finance / Economy / Commerce / Trade Ministry,Sunni,International Religious,Executive,Cabinet",1
"Government,Finance / Economy / Commerce / Trade Ministry,Tourism Ministry,Executive,Cabinet",1
"Government,Finance / Economy / Commerce / Trade Ministry,Unicameral,Cabinet,Executive,Legislative / Parliamentary",1
"Government,Foreign Ministry,Cabinet,Executive,International Religious,Elite,Muslim",1
"Government,Foreign Ministry,Cabinet,Executive,Nongovernmental Organizations / Activists,Charity NGOs",1
"Government,Foreign Ministry,Defense / Security Ministry,Executive,Elite",1
"Government,Foreign Ministry,Elite,Executive,Executive Office",1
"Government,Foreign Ministry,Executive Office,Executive,Elite,Cabinet,International Religious,Muslim",1
"Government,Foreign Ministry,Executive,Cabinet,Justice / Law Ministry",1
"Government,Foreign Ministry,Executive,Cabinet,Krahn,International Ethnic",1
"Government,Foreign Ministry,Executive,Legislative / Parliamentary,Elite,Justice / Law Ministry",1
"Government,Foreign Ministry,Executive,Unicameral,Legislative / Parliamentary",1
"Government,Foreign Ministry,Finance / Economy / Commerce / Trade Ministry,Executive,Elite",1
"Government,Foreign Ministry,International Religious,Christian,Executive Office,Cabinet,Executive",1
"Government,Foreign Ministry,International Religious,Lower House,Legislative / Parliamentary,Orthodox,Executive",1
"Government,Foreign Ministry,Justice / Law Ministry,Executive",1
"Government,Foreign Ministry,Justice / Law Ministry,Executive,Cabinet",1
"Government,Foreign Ministry,Justice / Law Ministry,Legislative / Parliamentary,Executive,Elite",1
"Government,Foreign Ministry,Legislative / Parliamentary,Executive,Elite",1
"Government,Foreign Ministry,Lower House,Executive,Legislative / Parliamentary",1
"Government,Foreign Ministry,Muslim,International Religious,Elite,Executive,Cabinet",1
"Government,Foreign Ministry,Provincial,Local,Elite,Executive",1
"Government,Foreign Ministry,Regional Diplomatic IGOs,Regional,International Government Organization,Executive",1
"Government,Foreign Ministry,Regional,Regional Diplomatic IGOs,Elite,International Government Organization,Executive",1
"Government,Foreign Ministry,Sunni,Ideological,Executive,International Religious,Fundamentalist",1
"Government,General Population / Civilian / Social,Executive,Transportation Ministry,Social",1
"Government,General Population / Civilian / Social,Local,Provincial,Social",1
"Government,General Population / Civilian / Social,Provincial,Social,Local",1
"Government,Global Defense / Security IGOs,Global,Elite,International Government Organization",1
"Government,Global Development IGOs,Development NGOs,Nongovernmental Organizations / Activists,Pashtun,Executive,International Religious,International Government Organization,Executive Office,Global,Muslim,Global Economic/Financial/Trade IGOs,International Ethnic",1
"Government,Global Development IGOs,Global Economic/Financial/Trade IGOs,Global,International Government Organization",1
"Government,Global Diplomatic IGOs,Foreign Ministry,International Government Organization,Global,Executive",1
"Government,Global Diplomatic IGOs,Global,International Government Organization,Elite",1
"Government,Global Economic/Financial/Trade IGOs,Global,International Government Organization,International Ethnic,Muslim,Executive Office,Executive,Global Development IGOs,Pashtun,International Religious,Development NGOs,Nongovernmental Organizations / Activists",1
"Government,Global Law / Justice / Judicial IGOs,International Government Organization,Global,Upper House,Legislative / Parliamentary,Elite",1
"Government,Global,International Government Organization,Foreign Ministry,Global Diplomatic IGOs,Executive",1
"Government,Global,International Government Organization,Global Development IGOs,Global Economic/Financial/Trade IGOs",1
"Government,Global,International Government Organization,Global Economic/Financial/Trade IGOs,Global Development IGOs",1
"Government,Government Religious,Executive,Executive Office",1
"Government,Government Religious,Far Right,Ideological",1
"Government,Government Religious,Judicial,National / Supreme Court",1
"Government,Health Ministry,Executive,Cabinet,Legislative / Parliamentary,Unicameral",1
"Government,Health Ministry,Executive,Elite",1
"Government,Health Ministry,Executive,Legislative / Parliamentary",1
"Government,Health Ministry,Social,Executive,Media",1
"Government,Health Ministry,Women / Children / Social / Welfare / Development / Religion Ministry,Executive",1
"Government,Housing / Construction Ministry,Defense / Security Ministry,Executive",1
"Government,Housing / Construction Ministry,Elite,Executive Office,Women / Children / Social / Welfare / Development / Religion Ministry,Tourism Ministry,Executive",1
"Government,Housing / Construction Ministry,Environment Ministry,Executive,Cabinet",1
"Government,Housing / Construction Ministry,Executive,Interior / Home Ministry",1
"Government,Housing / Construction Ministry,Executive,Transportation Ministry",1
"Government,Human Rights Ministry,Cabinet,Executive",1
"Government,Human Rights Ministry,Cabinet,Executive,Justice / Law Ministry",1
"Government,Human Rights Ministry,Executive,Cabinet",1
"Government,Human Rights NGOs,Provincial,Nongovernmental Organizations / Activists,Local,International Ethnic,Tibetan",1
"Government,Ideological,Center Left,Provincial,Local",1
"Government,Ideological,Center Right,Elite,Local,Municipal",1
"Government,Ideological,Center Right,Legislative / Parliamentary,Unicameral",1
"Government,Ideological,Elections Ministry,Centrist,Executive",1
"Government,Ideological,Finance / Economy / Commerce / Trade Ministry,Center Right,Foreign Ministry,Executive,Defense / Security Ministry,Cabinet",1
"Government,Ideological,Foreign Ministry,Executive,Communist",1
"Government,Ideological,Government Religious,Muslim,Far Right,International Religious",1
"Government,Ideological,Legislative / Parliamentary,Center Right,Upper House",1
"Government,Ideological,Legislative / Parliamentary,Lower House,Center Left",1
"Government,Ideological,Legislative / Parliamentary,Unicameral,Center Right",1
"Government,Ideological,Military,Nationalist",1
"Government,Ideological,Muslim,International Religious,Executive,Cabinet,Far Right,Health Ministry",1
"Government,Ideological,National / Supreme Court,Judicial,Far Right",1
"Government,Ideological,Tajik,Military,International Ethnic,Nationalist",1
"Government,Ijaw,Elite,Provincial,Local,International Ethnic",1
"Government,Industrial / Textiles / Mining Ministry,Cabinet,Energy Ministry,Executive",1
"Government,Industrial / Textiles / Mining Ministry,Energy Ministry,Cabinet,Executive",1
"Government,Industrial / Textiles / Mining Ministry,Energy Ministry,Executive,Cabinet",1
"Government,Industrial / Textiles / Mining Ministry,Executive,Cabinet,Energy Ministry",1
"Government,Industrial / Textiles / Mining Ministry,Military,Executive",1
"Government,Information / Communication / Transparency Ministry,Army,Executive,Military",1
"Government,Information / Communication / Transparency Ministry,Executive,Industrial / Textiles / Mining Ministry",1
"Government,Information / Communication / Transparency Ministry,Executive,Military,Army",1
"Government,Information / Communication / Transparency Ministry,Legislative / Parliamentary,Executive,Lower House",1
"Government,Information / Communication / Transparency Ministry,Media,Executive,News,Social,Television News,State Media",1
"Government,Intelligence Ministry,Army,Executive,Military",1
"Government,Intelligence Ministry,Cabinet,Executive,National / Border Divisions,Police,Defense / Security Ministry",1
"Government,Intelligence Ministry,Cabinet,Executive,Police,National / Border Divisions",1
"Government,Intelligence Ministry,Cabinet,National / Border Divisions,Executive,Police",1
"Government,Intelligence Ministry,Elite,Executive",1
"Government,Intelligence Ministry,Executive,Elite",1
"Government,Intelligence Ministry,International Government Organization,Regional Diplomatic IGOs,Regional,Executive",1
"Government,Intelligence Ministry,Legislative / Parliamentary,Executive,Defense / Security Ministry",1
"Government,Intelligence Ministry,Sunni,Executive,International Religious",1
"Government,Interior / Home Ministry,Coast Guard,Military,Executive",1
"Government,Interior / Home Ministry,Education Ministry,Executive",1
"Government,Interior / Home Ministry,Elite,Cabinet,Executive",1
"Government,Interior / Home Ministry,Elite,Defense / Security Ministry,Executive",1
"Government,Interior / Home Ministry,Intelligence Ministry,Executive,Defense / Security Ministry",1
"Government,Interior / Home Ministry,Justice / Law Ministry,Cabinet,Executive",1
"Government,Interior / Home Ministry,Military,Air Force,Executive,Defense / Security Ministry",1
"Government,Interior / Home Ministry,Military,Executive",1
"Government,Interior / Home Ministry,Pashtun,International Ethnic,Defense / Security Ministry,Cabinet,Executive",1
"Government,Interior / Home Ministry,Regional Diplomatic IGOs,Regional,International Government Organization,Executive",1
"Government,Interior / Home Ministry,Unicameral,Legislative / Parliamentary,Cabinet,Executive",1
"Government,International Ethnic,Army,Military,Pashtun",1
"Government,International Ethnic,Chechen,Social,National Ethnic,Lower House,Legislative / Parliamentary,National Ethnic Minority",1
"Government,International Ethnic,Executive,Serb (Ethnic Group),Elite,Foreign Ministry",1
"Government,International Ethnic,Finance / Economy / Commerce / Trade Ministry,Pashtun,Executive,Cabinet",1
"Government,International Ethnic,Human Rights NGOs,Provincial,Local,Tibetan,Nongovernmental Organizations / Activists",1
"Government,International Ethnic,Lower House,Legislative / Parliamentary",1
"Government,International Ethnic,Military,Pashtun,Army",1
"Government,International Ethnic,Mongolian,Local,Provincial",1
"Government,International Ethnic,Pashtun,Army,Military",1
"Government,International Ethnic,Police,Pashtun",1
"Government,International Ethnic,Provincial,Chechen,National Ethnic Minority,Local,National Ethnic,Social",1
"Government,International Ethnic,Serb (Ethnic Group),Executive,Foreign Ministry,Elite",1
"Government,International Ethnic,Unicameral,Legislative / Parliamentary,Jews",1
"Government,International Ethnic,Uzbek,Executive Office,Executive",1
"Government,International Government Organization,Defense / Security Ministry,Cabinet,Executive,Regional,Regional Diplomatic IGOs",1
"Government,International Government Organization,Executive,Global Diplomatic IGOs,Foreign Ministry,Elite,Global",1
"Government,International Government Organization,Executive,Military,Regional Defense / Security IGOs,Defense / Security Ministry,Regional",1
"Government,International Government Organization,Finance / Economy / Commerce / Trade Ministry,Regional,Executive,Regional Diplomatic IGOs",1
"Government,International Government Organization,Foreign Ministry,Executive,Global Diplomatic IGOs,Global",1
"Government,International Government Organization,Foreign Ministry,Global,Executive,Global Diplomatic IGOs",1
"Government,International Government Organization,Foreign Ministry,Global,Global Diplomatic IGOs,Executive",1
"Government,International Government Organization,Global,Foreign Ministry,Global Diplomatic IGOs,Executive",1
"Government,International Government Organization,Global,Nongovernmental Organizations / Activists,International Ethnic,Executive,Executive Office,Muslim,Global Development IGOs,Development NGOs,Pashtun,International Religious,Global Economic/Financial/Trade IGOs",1
"Government,International Government Organization,Legislative / Parliamentary,Regional Diplomatic IGOs,Elite,Regional",1
"Government,International Government Organization,Navy,Military,Regional Diplomatic IGOs,Regional",1
"Government,International Government Organization,Regional Diplomatic IGOs,Defense / Security Ministry,Regional,Executive",1
"Government,International Government Organization,Regional Diplomatic IGOs,Executive Office,Executive,Elite,Regional",1
"Government,International Government Organization,Regional Diplomatic IGOs,Executive,Cabinet,Regional,Elite,Foreign Ministry",1
"Government,International Government Organization,Regional Diplomatic IGOs,Executive,Regional,Defense / Security Ministry",1
"Government,International Government Organization,Regional Diplomatic IGOs,Finance / Economy / Commerce / Trade Ministry,Regional,Executive",1
"Government,International Government Organization,Regional Diplomatic IGOs,Foreign Ministry,Elite,Regional,Executive,Cabinet",1
"Government,International Government Organization,Regional Diplomatic IGOs,Judicial,Regional",1
"Government,International Government Organization,Regional Diplomatic IGOs,Legislative / Parliamentary,Regional,Lower House",1
"Government,International Government Organization,Regional Diplomatic IGOs,Municipal,Local,Regional",1
"Government,International Government Organization,Regional Diplomatic IGOs,Provincial,Local,Regional",1
"Government,International Government Organization,Regional Diplomatic IGOs,Regional,Education Ministry,Executive",1
"Government,International Government Organization,Regional Diplomatic IGOs,Regional,Foreign Ministry,Executive",1
"Government,International Government Organization,Regional Diplomatic IGOs,Regional,Information / Communication / Transparency Ministry,State Media,Executive",1
"Government,International Government Organization,Regional Diplomatic IGOs,Regional,Judicial",1
"Government,International Government Organization,Regional Diplomatic IGOs,Regional,Justice / Law Ministry,Executive",1
"Government,International Government Organization,Regional Diplomatic IGOs,Regional,Legislative / Parliamentary,Upper House",1
"Government,International Government Organization,Regional Diplomatic IGOs,Regional,Nongovernmental Organizations / Activists,Elite,Human Rights NGOs,Lower House,Legislative / Parliamentary",1
"Government,International Government Organization,Regional Diplomatic IGOs,State Owned Enterprises,Finance / Economy / Commerce / Trade Ministry,Regional,State-Owned Consulting / Financial Services,Executive",1
"Government,International Government Organization,Regional,Cabinet,Executive,Regional Diplomatic IGOs",1
"Government,International Government Organization,Regional,Elite,Foreign Ministry,Executive,Cabinet,Regional Diplomatic IGOs",1
"Government,International Government Organization,Regional,Executive,Regional Diplomatic IGOs,Finance / Economy / Commerce / Trade Ministry",1
"Government,International Government Organization,Regional,Legislative / Parliamentary,Lower House,Justice / Law Ministry,Elite,Cabinet,Executive,Regional Diplomatic IGOs",1
"Government,International Government Organization,Regional,Local,Municipal,Regional Diplomatic IGOs",1
"Government,International Government Organization,State Owned Enterprises,Regional Diplomatic IGOs,Regional,State-Owned Consulting / Financial Services",1
"Government,International Government Organization,Unicameral,Legislative / Parliamentary,Regional,Regional Diplomatic IGOs",1
"Government,International Religious,Christian,Executive Office,Cabinet,Executive,Foreign Ministry",1
"Government,International Religious,Christian,Executive,Legislative / Parliamentary,Foreign Ministry,Unicameral",1
"Government,International Religious,Elite,Executive,Catholic,Executive Office",1
"Government,International Religious,Elite,Executive,Executive Office,Muslim",1
"Government,International Religious,Elite,Local,Provincial,Catholic",1
"Government,International Religious,Executive Office,Shinto,Executive,Elite",1
"Government,International Religious,Executive,Cabinet,Finance / Economy / Commerce / Trade Ministry,Muslim",1
"Government,International Religious,Foreign Ministry,Christian,Executive",1
"Government,International Religious,Government Religious,Shia,Local,Provincial",1
"Government,International Religious,Ideological,Elite,Executive Office,Executive,Fundamentalist,Sunni",1
"Government,International Religious,Intelligence Ministry,Executive,Sunni",1
"Government,International Religious,Jewish,Local",1
"Government,International Religious,Legislative / Parliamentary,Executive,Lower House,Foreign Ministry,Orthodox",1
"Government,International Religious,Legislative / Parliamentary,Lower House,Buddhist",1
"Government,International Religious,Legislative / Parliamentary,Muslim",1
"Government,International Religious,Local,Municipal,Provincial,Muslim",1
"Government,International Religious,Lower House,Legislative / Parliamentary,Shia",1
"Government,International Religious,Management / Budget / Planning / Organization Ministry,Executive,Muslim",1
"Government,International Religious,Maronite,Military",1
"Government,International Religious,Military,Christian",1
"Government,International Religious,Military,Maronite",1
"Government,International Religious,Military,Muslim,Defense / Security Ministry,Executive,Agriculture / Fishing / Forestry Ministry,Post / Tecoms Ministry,Education Ministry,Elite,Environment Ministry,Water Ministry,Finance / Economy / Commerce / Trade Ministry,Food Ministry,Transportation Ministry",1
"Government,International Religious,Muslim,Executive,Finance / Economy / Commerce / Trade Ministry",1
"Government,International Religious,Muslim,National / Supreme Court,Judicial",1
"Government,International Religious,Orthodox,Legislative / Parliamentary,Lower House",1
"Government,International Religious,Provincial,Government Religious,Local,Shia",1
"Government,International Religious,Religious Court,Muslim,Judicial",1
"Government,International Religious,Sunni,Executive Office,Executive,Elite",1
"Government,International Religious,Sunni,Muslim,Executive Office,Elite,Executive",1
"Government,International Religious,Unicameral,Christian,Legislative / Parliamentary",1
"Government,International Religious,Unicameral,Orthodox,Legislative / Parliamentary",1
"Government,Jewish,Executive,Foreign Ministry,International Religious",1
"Government,Jews,Executive,International Ethnic,Justice / Law Ministry",1
"Government,Jews,Foreign Ministry,International Ethnic,Executive",1
"Government,Jews,Military,International Ethnic",1
"Government,Justice / Law Ministry,Cabinet,Executive,Foreign Ministry",1
